rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
274,30s,30,"31.742786,34.985966",31.7427861221674,34.985966254568005,1,7
275,30s,30,"31.713851,34.991178",31.71385138599239,34.991177811499405,1,7
276,30s,30,"31.747810,34.997761",31.74780983637391,34.99776073397805,1,7
277,30s,30,"31.713819,34.991951",31.713818669293047,34.99195108399097,1,7
278,30s,30,"31.709192,34.992788",31.709192307462132,34.99278770709902,1,7
279,30s,30,"31.710406,34.994082",31.71040586539461,34.994082008483325,1,7
280,30s,30,"31.715857,34.992263",31.71585731677346,34.99226309471771,1,7
281,30s,30,"31.757747,34.999451",31.757747364782194,34.99945141993591,1,7
282,30s,30,"31.708612,34.993330",31.708611943482957,34.99332991465589,1,7
283,30s,30,"31.761454,34.994302",31.761453835209778,34.994301829788924,1,7
284,30s,30,"31.737499,34.992935",31.737499077146325,34.99293491378539,1,7
285,30s,30,"31.742424,34.995303",31.742424378132725,34.99530284147147,1,7
286,30s,30,"31.761146,34.995240",31.761145521055752,34.99524008493654,1,7
287,30s,30,"31.735248,34.992476",31.735248322997222,34.99247589359631,1,7
288,30s,30,"31.708890,34.995610",31.708890435870508,34.99560998567077,1,7
289,30s,30,"31.742180,34.984470",31.742179786869418,34.98447003261981,1,7
290,30s,30,"31.747411,34.995002",31.74741085256005,34.995001744883645,1,7
291,30s,30,"31.728639,34.985848",31.728639148113697,34.98584811269482,1,7
292,30s,30,"31.726791,34.993800",31.726790598224223,34.99379971643167,1,7
293,30s,30,"31.755887,34.991314",31.755886819632945,34.99131426460908,1,7
294,30s,30,"31.759172,35.019733",31.759172287078975,35.01973253164501,1,7
295,30s,30,"31.759676,35.014877",31.759675898699435,35.0148765972048,1,7
296,30s,30,"31.759524,34.996114",31.75952404873623,34.99611426381753,1,7
297,30s,30,"31.708185,35.000437",31.708185474285166,35.000436761978726,1,7
298,30s,30,"31.760995,34.996332",31.76099527526547,34.996332116177534,1,7
299,30s,30,"31.758939,34.998456",31.758938672882973,34.99845578074919,1,7
300,30s,30,"31.760808,35.009239",31.760807609386134,35.00923914384087,1,7
